NAME,B17001_002E,B17001_001E,B03002_003E,B03002_004E,B03002_012E,B25044_003E,B25044_010E,B25044_001E,state,county,tract,poverty_rate,no_vehicle_rate,pct_black,pct_hispanic
Census Tract 70.21; Sacramento County; California,546.0,5364.0,874.0,912.0,2498.0,10.0,94.0,1768.0,06,Sacramento,007021,10.2,5.9,17.0,46.6
Census Tract 70.22; Sacramento County; California,438.0,3226.0,792.0,524.0,837.0,0.0,103.0,1239.0,06,Sacramento,007022,13.6,8.3,16.2,25.9
Census Tract 70.23; Sacramento County; California,246.0,4659.0,1169.0,613.0,2145.0,15.0,31.0,1788.0,06,Sacramento,007023,5.3,2.6,13.2,46.0
Census Tract 70.24; Sacramento County; California,260.0,2049.0,859.0,268.0,695.0,33.0,23.0,801.0,06,Sacramento,007024,12.7,7.0,13.1,33.9
Census Tract 70.25; Sacramento County; California,227.0,2939.0,907.0,549.0,489.0,0.0,18.0,1239.0,06,Sacramento,007025,7.7,1.5,18.7,16.6
Census Tract 70.26; Sacramento County; California,422.0,5514.0,1348.0,663.0,1048.0,0.0,120.0,2137.0,06,Sacramento,007026,7.7,5.6,12.0,19.0
Census Tract 70.27; Sacramento County; California,87.0,2515.0,730.0,421.0,41.0,0.0,0.0,1005.0,06,Sacramento,007027,3.5,0.0,16.7,1.6
Census Tract 70.28; Sacramento County; California,353.0,4649.0,982.0,673.0,1269.0,26.0,113.0,1691.0,06,Sacramento,007028,7.6,8.2,14.5,27.3
Census Tract 71.01; Sacramento County; California,0.0,200.0,200.0,0.0,0.0,0.0,0.0,67.0,06,Sacramento,007101,0.0,0.0,0.0,0.0
Census Tract 71.03; Sacramento County; California,447.0,4351.0,794.0,745.0,1020.0,13.0,47.0,1832.0,06,Sacramento,007103,10.3,3.3,17.1,23.4
Census Tract 71.05; Sacramento County; California,79.0,6626.0,2137.0,940.0,1198.0,0.0,0.0,2351.0,06,Sacramento,007105,1.2,0.0,14.2,18.1
Census Tract 71.06; Sacramento County; California,115.0,6785.0,1943.0,623.0,1541.0,0.0,0.0,2423.0,06,Sacramento,007106,1.7,0.0,9.2,22.7
Census Tract 71.07; Sacramento County; California,325.0,4010.0,1119.0,402.0,564.0,77.0,25.0,1383.0,06,Sacramento,007107,8.1,7.4,10.0,14.1
Census Tract 71.08; Sacramento County; California,371.0,5776.0,1509.0,432.0,893.0,43.0,39.0,1836.0,06,Sacramento,007108,6.4,4.5,7.5,15.5
Census Tract 71.09; Sacramento County; California,337.0,3777.0,1851.0,439.0,474.0,27.0,105.0,1751.0,06,Sacramento,007109,8.9,7.5,11.6,12.5
Census Tract 71.10; Sacramento County; California,80.0,5021.0,1684.0,1244.0,723.0,0.0,21.0,1570.0,06,Sacramento,007110,1.6,1.3,24.8,14.4
Census Tract 71.11; Sacramento County; California,82.0,4563.0,1223.0,614.0,763.0,0.0,20.0,1360.0,06,Sacramento,007111,1.8,1.5,13.5,16.7
Census Tract 72.02; Sacramento County; California,941.0,4062.0,2385.0,219.0,976.0,32.0,57.0,1418.0,06,Sacramento,007202,23.2,6.3,5.4,24.0
Census Tract 72.04; Sacramento County; California,207.0,5920.0,1596.0,713.0,2060.0,1.0,37.0,1807.0,06,Sacramento,007204,3.5,2.1,12.0,34.8
Census Tract 72.06; Sacramento County; California,247.0,3956.0,2751.0,44.0,737.0,3.0,5.0,1318.0,06,Sacramento,007206,6.2,0.6,1.1,18.6
Census Tract 72.07; Sacramento County; California,661.0,4806.0,3279.0,207.0,910.0,19.0,6.0,1365.0,06,Sacramento,007207,13.8,1.8,4.3,18.9
Census Tract 72.08; Sacramento County; California,477.0,4795.0,3127.0,80.0,1054.0,0.0,11.0,1444.0,06,Sacramento,007208,9.9,0.8,1.7,22.0
